topic_id,global_index,local_index,is_selected_representative,cluster_size,papers_selected_from_cluster,title,authors,year,journal,doi,abstract,keywords,similarity_to_centroid,similarity_to_cluster_papers,diversity_score,representativeness_score,xai_alignment,symbolic_alignment,subsymbolic_alignment,representative_title,representative_authors,similarity_to_representative,is_similar_to_representative
0,22,1,True,204,30,{Logic-driven autoencoders},"Al-Hmouz, R and Pedrycz, W and Balamash, A and Morfeq, A",2019,Knowledge-Based Systems,10.1016/j.knosys.2019.104874,"Autoencoders are computing architectures encountered in various schemes of deep learning and realizing an efficient way of representing data in a compact way by forming a set of features. In this study, a concept, architecture, and algorithmic developments of logic-driven autoencoders are presented. In such structures, encoding and the decoding processes realized at the consecutive layers of the autoencoder are completed with the aid of some fuzzy logic operators (namely, OR, AND, NOT operations) and the ensuing encoding and decoding processing is carried out with the aid of fuzzy logic processing. The optimization of the autoencoder is completed through a gradient-based learning. The transparent knowledge representation delivered by autoencoders is facilitated by the involvement of logic processing, which implies that the encoding mechanism comes with the generalization abilities delivered by OR neurons while the specialization mechanism is achieved by the AND-like neurons forming the decoding layer. A series of illustrative examples is also presented. {\textcopyright}2019 Elsevier B.V.","AND neurons,Auto encoders,Autoencoder,Computer architecture,Computer circuits,Computing architecture,Decoding,Deep learning,Encoding (symbols),Encoding and decoding,Encoding mechanism,Fuzzy logic,Fuzzy logic operators,Fuzzy neurons,Generalization ability,Gradient-based learning,Knowledge representation,Learning,Logic processing,Neurons,OR neurons,Signal encoding",0.6697761,0.4317143,0.28214395,0.37905198,0.125,0.25,0.1111111111111111,,,,
0,45,5,True,204,30,{A novel hybrid method based on fuzzy cognitive maps and fuzzy clustering algorithms for grading celiac disease},"Amirkhani, A and Mosavi, M R and Mohammadi, K and Papageorgiou, E I",2018,NEURAL COMPUTING & APPLICATIONS,10.1007/s00521-016-2765-y,"This paper presents a new method based on fuzzy cognitive map (FCM) and possibilistic fuzzy c-means (PFCM) clustering algorithm for categorizing celiac disease (CD). CD is a complex disorder whose development is affected by genetics (HLA alleles) and gluten ingestion. The celiac patients who are not treated are at a high risk of cancer, malignant lymphoma, and small bowel neoplasia. Therefore, CD diagnosis and grading are of paramount importance. The proposed FCM models human thinking for the purpose of classifying patients suffering from CD. We used the latest grading method where three grades A, B1, and B2 are used. To improve FCM efficiency and classification capability, a nonlinear Hebbian learning algorithm is applied for adjusting the FCM weights. To this end, 89 cases are studied. Three experts extracted seven main determinant characteristics of CD which were considered as FCM concepts. The mutual effects of these concepts on one another and on the final concept were expressed in the form of fuzzy rules and linguistic variables. Using the center of gravity defuzzifier, we obtained the numerical values of these weights and obtained the total weight matrix. Ultimately, combining the FCM model with PFCM algorithm, we obtained the grades A, B1, and B2 accuracies as 88, 90, and 91%, respectively. The main advantage of the proposed FCM is the good transparency and interpretability in the decision-making procedure, which make it a suitable tool for daily usage in the clinical practice.",,0.52222544,0.3366083,0.4081112,0.4366398,0.25,0.08333333333333333,0.0,,,,
0,85,11,True,204,30,{A Hybrid Framework Integrating LLM and ANFIS for Explainable Fact-Checking},"Bangerter, M L and Fenza, G and Furno, D and Gallo, M and Loia, V and Stanzione, C and You, I",2024,IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2024.3431710,"The widespread utilization of social media for information consumption has significantly exacerbated the problem of information disorder. Recognizing the difficulty people face in discerning the truth, automated assistance is urgently needed. Current state-of-the-art approaches often involve fine-tuning existing models with contributions from domain knowledge bases. The black-box nature and interpretability issues of deep neural networks (DNNs) have increased interest in hybrid approaches, giving rise to Deep Neural Fuzzy Systems (DNFSs). This research paper presents the Hybrid Fact-Checking Framework (HFCF) leveraging a DNFS tailored to address the uncertainty inherent in fact verification tasks and enhance the reliability of model responses. The DNFS integrates a Large Language Model (LLM) with an Adaptive Neuro-Fuzzy Inference System (ANFIS) for automated fact verification. The framework utilizes relevant evidence from open-world and closed-world sources, leveraging deep language models and employing few-shot prompting without additional training to generate and justify verdicts. Including fuzzy rules and considering the trustworthiness and relevance of retrieved evidence enhances response reliability, thereby improving overall effectiveness and outcome interpretability. Experimental validations have been conducted on three publicly available datasets ranging in different domains of expertise: ClimateFEVER, SciFact, and FEVER. The results demonstrate that the proposed framework ensures better outcomes, transparency, and mindful decision-making. IEEE","Adaptation models,Behavioral research,Data models,Decision making,Deep Neuro-Fuzzy System,Deep neural networks,Deep neuro-fuzzy system,Fact-checking,Fuzzy Inference System,Fuzzy inference,Fuzzy inference systems,Fuzzy logic,Fuzzy neural networks,Fuzzy systems,Fuzzy-Logic,Job analysis,Language model,Large Language Model,Large language model,Large language models,Neurofuzzy system,Reliability,Reliability analysis,Task analysis",0.5836882,0.37622496,0.38874364,0.4374798,0.375,0.25,0.2222222222222222,,,,
0,203,22,True,204,30,{Fuzzy Min-Cut With Soft Balancing Effects},"Chen, H and Zhang, R and Wang, R and Nie, F",2025,IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2024.3491300,"The clustering algorithm has always been a hot spot in machine learning, which has made great progress and been widely used in different scenarios. Due to the characteristics and requirements of some application scenarios, the branch of the balanced clustering algorithm has been developed. The ideal of these algorithms is to obtain clusters containing approximately the same number of samples. However, when there are data points distributed at the boundary of different clusters, resulting in different probabilities of their belonging, hard-partitioned balanced clustering may not be able to handle these boundary data well, thus limiting their performance. Motivated by this, we propose a Fuzzy Min-Cut with Soft Balancing Effects (FCBE) method in this article. Specifically, the FCBE model utilizes fuzzy constraints to simultaneously enhance the ability of the balanced algorithm to capture boundary data members and the advantage of directly obtaining the partitioning results of graph-cut problem without postprocessing. In addition, a sparse regularization is introduced to avoid trivial solutions and maintain the separability of the relationship matrix. Furthermore, the proposed FCBE method can be viewed as a flexibly adjustable generalization pattern that not only has clear interpretability but also can become special cases with clear physical meanings under different parameter values. The feasibility of FCBE has been verified on real datasets.","Clustering algorithms,Clustering methods,Data models,Fuzzy constraints,Fuzzy systems,Partitioning algorithms,Sparse matrices,Switches,Uncertainty,Vectors,Wireless sensor networks,soft-balanced,sparse regularization,spectral clustering (SC)",0.53685474,0.34603778,0.4085049,0.44059235,0.125,0.08333333333333333,0.1111111111111111,,,,
0,237,25,True,204,30,{Discovering knowledge from data clustering using automatically-defined interval type-2 fuzzy predicates},"Comas, D S and Meschino, G J and Now{\'{e}}, A and Ballarin, V L",2017,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/j.eswa.2016.10.018,"In data clustering fuzzy predicates act as cluster descriptors providing linguistically expressed knowledge which indicates how features are related to each cluster. Fuzzy predicates directly and automatically obtained from data enable discovering knowledge inside clusters, even when there is no prior-information about the clustering problem. In this work a new method for automatic discovering of interval type-2 fuzzy predicates in data clustering is proposed, called Type-2 Data-based Fuzzy Predicate Clustering (T2-DFPC). In a first stage, a data analysis is performed by making a random partition of the original data and running a clustering scheme that automatically determines the suitable number of clusters. From this stage, interval type-2 fuzzy predicates are discovered. Results obtained on very different clustering datasets show that the T2-DFPC method was consistently one of the best in terms of accuracy. The method preserves all known advantages of the interval type-2 FL to deal with problems with vagueness, quantifying the degree of truth of the fuzzy predicates and modelling the variability of the data inside the clusters. The proposed method is a fast, useful, general, and unsupervised approach for interpretable data clustering, being the knowledge-extracting capabilities one of the main contributions. Linguistic expressions can be easily adapted to match the terminology used in the field the data are related to. The predicates are able to generalize the knowledge for new cases (new data), as an intelligent system. This new approach might be surprisingly useful in contexts where, besides the clustering partition, summary information from data is of interest. (C) 2016 Elsevier Ltd. All rights reserved.",,0.5127175,0.33047974,0.3656571,0.4024222,0.125,0.08333333333333333,0.0,,,,
0,271,30,True,204,30,{Nonlinear Dimensionality Reduction for Data Visualization: An Unsupervised Fuzzy Rule-Based Approach},"Das, S and Pal, N R",2022,IEEE TRANSACTIONS ON FUZZY SYSTEMS,10.1109/TFUZZ.2021.3076583,"In this article, we propose a general framework for the unsupervised fuzzy rule-based dimensionality reduction primarily for data visualization. This framework has the following important characteristics relevant to the dimensionality reduction for visualization: preserves neighborhood relationships; effectively handles data on nonlinear manifolds; capable of projecting out-of-sample test points; can reject test points, when it is appropriate; and interpretable to a reasonable extent. We use the first-order Takagi-Sugeno model. Typically, fuzzy rules are either provided by experts or extracted using an input-output training set. Here, neither the output data nor experts are available. This makes the problem challenging. We estimate the rule parameters minimizing a suitable objective function that preserves the interpoint geodesic distances (distances over the manifold) as Euclidean distances on the projected space. In this context, we propose a new variant of the geodesic c-means clustering algorithm. The proposed method is tested on several synthetic and real-world datasets and compared with the results of six state-of-the-art data visualization methods. The proposed method is the only method that performs equally well on all the datasets tried. Our method is found to be robust to the initial conditions. The predictability of the method is validated by suitable experiments. We also assess the ability of our method to reject test points when it should. The scalability issue of the scheme is also discussed. Due to the general nature of the framework, we can use different objective functions to obtain projections satisfying different goals. To the best of our knowledge, this is the first attempt to manifold learning using unsupervised fuzzy rule-based modeling.",,0.5266812,0.33948028,0.42225063,0.44835827,0.125,0.25,0.0,,,,
0,295,33,True,204,30,{Convolutional rule inference network based on belief rule-based system using an evidential reasoning approach},"Diao, H and Lu, Y and Deng, A and Zou, L and Li, X and Pedrycz, W",2022,Knowledge-Based Systems,10.1016/j.knosys.2021.107713,"With the development of artificial intelligence, we pay widespread attention to the high reliability and interpretability of resulting architectures and algorithms. As one of the main methods of machine learning, the “black-box” mechanism of neural networks lacks interpretability. In order to alleviate the low interpretability, based on belief rule-based inference methodology using the evidential reasoning approach (RIMER), we propose a convolutional rule inference network (CRIN), which is interpretable by involving rules in belief rule base (BRB) under various types of uncertain knowledge representation. Considering the influence of global data distribution on attribute weights, the determination of each attribute may be affected by all other attributes, based on the sigmoid activation function, we determine optimized attribute weights to make sure that each attribute weight is formed by all attribute values. The derivation functions with optimized attribute weights based on evidential reasoning theory also showed to ensure the feasibility of the following learning algorithm. For expressing the influence of local rules input on final output in the network, the network framework and learning algorithm of CRIN based on convolution strategy are proposed. The inference process in RIMER is used as the feedforward mechanism to ensure the interpretability of the network. Meanwhile, the gradient descent method is used as back propagation algorithm to adjust the parameters of rule base to establish a more reasonable BRB. The experimental results and comparative analysis demonstrate that the proposed CRIN has advantages in terms of interpretability and learning capability. This study suggests new trends for interpretable network and uncertain classification issues in the reasoning approach. {\textcopyright}2021","Attribute weight,Base systems,Belief distribution,Convolution,Evidential reasoning approach,Evidential reasoning approaches,Gradient methods,Inference network,Interpretability,Interpretable network,Knowledge representation,Learning algorithms,Optimization,Rule basis,Rule inference,Rule-base system",0.64937997,0.41856766,0.36238945,0.43413708,0.125,0.3333333333333333,0.2222222222222222,,,,
0,297,34,True,204,30,{Modeling Self-Adaptive Software Systems by Fuzzy Rules and Petri Nets},"Ding, Z and Zhou, Y and Zhou, M",2018,IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2017.2700286,"A self-adaptive software system is one that can autonomously modify its behavior at runtime in response to changes in the system and its environment. It is a challenge to model such a kind of systems since it is hard to predict runtime environmental changes at the design phase. In this paper, a formal model called intelligent Petri net (I-PN) is proposed to model a self-adaptive software system. I-PN is formed by incorporating fuzzy rules to a regular Petri net. The proposed net has the following advantages. 1) Since fuzzy rules can express the behavior of a system in an interpretable way and their variables can be reconfigured by the runtime data, the proposed model can model runtime environment and system behavior. 2) Since a fuzzy inference system with well-defined semantics can be used in a complementary way with other model languages for the analysis, thus the proposed model can be analyzed, even though it is described in two different languages: component behaviors in Petri nets while logic control in fuzzy rules. 3) The proposed model has self-adaption ability and can make adaptive decisions at runtime with the help of fuzzy inference reasoning. We adopt a manufacturing system to show the feasibility of the proposed model.","Adaptation models,Adaptive software system,Computational modeling,Data models,Petri net (PN),Petri nets,Production facilities,Raw materials,Software systems,fuzzy rule,requirement modeling",0.5065373,0.32649627,0.45564473,0.46836787,0.125,0.4166666666666667,0.0,,,,
0,390,44,True,204,30,{ARTxAI: Explainable Artificial Intelligence Curates Deep Representation Learning for Artistic Images Using Fuzzy Techniques},"Fumanal-Idocin, J and Andreu-Perez, J and Cordon, O and Hagras, H and Bustince, H",2024,IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2023.3337878,"Automatic art analysis employs different image processing techniques to classify and categorize works of art. When working with artistic images, we need to take into account further considerations compared to classical image processing. This is because artistic paintings change drastically depending on the author, the scene depicted, and their artistic style. This can result in features that perform very well in a given task but do not grasp the whole of the visual and symbolic information contained in a painting. In this article, we show how the features obtained from different tasks in artistic image classification are suitable to solve other ones of similar nature. We present different methods to improve the generalization capabilities and performance of artistic classification systems. Furthermore, we propose an explainable artificial intelligence method to map known visual traits of an image with the features used by the deep learning model considering fuzzy rules. These rules show the patterns and variables that are relevant to solve each task and how effective is each of the patterns found. Our results show that compared to multitask learning, our proposed context-aware features can achieve up to 19% more accurate results when using the residual network architecture and 3% when using ConvNeXt. We also show that some of the features used by these models can be more clearly correlated to visual traits in the original image than other kinds of features. {\textcopyright}1993-2012 IEEE.","And deep learning,Art,Art analysis,Automatic art analyse,Automatic art analysis,Classification (of information),Deep learning,Explainable artificial intelligence,Features extraction,Fuzzy clustering,Fuzzy inference,Fuzzy rules,Image analysis,Image classification,Images classification,Job analysis,Task analysis,deep learning,explainable artificial intelligence,fuzzy clustering,fuzzy rules,image classification",0.5730037,0.36933815,0.3197478,0.38306177,0.125,0.16666666666666666,0.1111111111111111,,,,
0,465,57,True,204,30,{VL-MFER: A Vision-Language Multimodal Pretrained Model With Multiway-Fuzzy-Experts Bidirectional Retention Network},"Guo, C and Li, X and Ma, J and Li, Y and Liu, Y and Qi, H and Zhang, L and Jin, Y",2025,IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2024.3425664,"Vision-language pretrained models have achieved significant success across various tasks. However, the lack of interpretability limits the application of multimodal models, especially for those that require the security of systems, data, and users. A key challenge in enhancing the interpretability of the models is the tradeoff between transparency and model performance in terms of accuracy and computing efficiency. We propose a vision-language multimodal pretrained model called multiway-fuzzy-experts bidirectional retention network (VL-MFER), which is designed to effectively interpret model decision processes while enhancing the consistent mapping between text and image features. We first propose a bidirectional retention network to handle and integrate the cross-modal high-dimensional data, which can effectively enhance both the performance and inference efficiency. Then, to improve the interpretability of vision-language pretrained models such as the unified vision-language pretraining with mixture-of-modality-experts, we propose a multiway fuzzy experts pool based on multiple different layered deep neuro-fuzzy systems for diverse downstream tasks. After training on diverse datasets consisting of images, text, and paired image-text data, we fine-tuned models for multiple vision and vision-language tasks. Experimental results show that VL-MFER performs well in all performance metrics of downstream tasks, and VL-MFER leads to enhancements in transparency compared to other methods, while improving computational efficiency and reducing inference time by up to 13%.","Computational modeling,Data models,Decision making,Deep neuro-fuzzy systems,Fuzzy systems,Task analysis,Transformers,Visualization,interpretability,multiscale retention (MSR),vision-language multimodality",0.56752956,0.3658097,0.35492247,0.40807423,0.25,0.0,0.2222222222222222,,,,
